Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
47633,95,5,0,0,0,0,7,7,7,8,8,9,7,9,8,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,0,7,7,7,8,8,7,7,8,7,8,7,7,8,7,9,7,9,7,9,8,8,7,7,8,8,7,0,0,0,0,0
47634,95,5,0,0,0,0,13,12,12,13,9,9,13,10,8,12,12,11,9,9,9,8,12,11,10,10,11,9,8,13,10,9,0,10,13,11,12,11,10,11,10,12,9,10,10,13,12,12,13,11,12,12,13,11,12,10,11,11,10,0,0,0,0,0
47635,95,5,0,0,0,0,12,14,16,15,14,16,16,14,16,14,14,14,14,15,15,14,14,12,12,11,16,15,14,15,18,14,0,12,12,16,14,14,17,14,19,13,19,15,15,13,14,17,14,15,17,17,18,16,14,17,18,13,17,0,0,0,0,0
47636,95,5,0,0,0,0,6,7,6,7,5,6,6,7,5,6,7,7,6,6,5,6,5,5,7,5,6,5,6,6,5,6,0,6,6,6,6,6,6,6,7,6,7,8,7,7,6,7,7,7,7,8,7,7,7,7,7,6,7,0,0,0,0,0
47637,95,5,0,0,0,0,17,17,17,16,17,18,17,16,18,15,17,18,16,17,15,16,16,16,17,16,18,15,14,17,17,16,0,16,16,17,15,17,18,17,17,18,16,17,17,18,19,17,17,19,17,19,17,16,18,17,18,17,17,0,0,0,0,0
47638,95,5,0,0,0,0,11,8,10,11,9,11,9,9,10,8,8,9,11,8,8,8,10,8,10,8,9,8,8,9,9,8,0,9,9,10,7,8,8,10,9,9,8,9,9,9,9,9,9,10,11,10,12,10,9,10,9,8,10,0,0,0,0,0
47639,95,5,0,0,0,0,18,18,21,19,18,19,18,16,18,16,19,19,17,18,17,16,17,17,17,16,15,17,16,18,19,18,0,18,18,18,19,17,17,18,16,19,17,17,19,18,19,19,20,19,18,19,19,17,19,17,19,18,17,0,0,0,0,0
47640,95,5,0,0,0,0,9,13,12,20,14,15,15,16,16,14,19,10,17,16,19,15,14,18,17,13,12,18,14,19,17,15,0,13,17,13,15,13,16,18,17,16,14,18,16,17,19,13,16,21,16,19,18,18,17,15,16,13,13,0,0,0,0,0
47641,95,5,0,0,0,0,4,8,6,9,9,8,4,5,9,7,6,6,7,6,5,6,6,5,5,7,5,5,6,7,7,7,0,7,6,8,6,7,6,8,6,7,7,7,7,6,7,5,7,7,9,6,6,8,8,6,7,6,8,0,0,0,0,0
47642,95,5,0,0,0,0,18,18,17,18,17,18,18,17,18,16,17,18,20,18,17,17,15,17,16,16,15,16,17,17,18,17,0,18,16,19,17,18,17,16,19,17,18,17,18,16,17,16,18,17,21,20,18,17,19,18,17,16,19,0,0,0,0,0
47643,95,5,0,0,0,0,13,14,15,14,14,16,15,15,15,13,14,14,14,13,13,14,15,14,13,13,13,13,13,15,13,12,0,15,14,15,15,15,15,15,14,16,13,16,12,14,15,14,15,15,14,15,13,15,12,14,15,17,16,0,0,0,0,0
