Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
118678,95,5,0,0,0,0,6,5,5,2,5,5,5,4,5,1,3,3,3,2,2,3,4,2,4,4,3,4,3,6,5,5,0,7,5,6,5,7,7,5,7,7,7,6,7,7,7,8,7,8,7,7,5,7,5,8,7,6,10,0,0,0,0,0
118679,95,5,0,0,0,0,9,7,6,8,6,5,5,5,5,5,6,6,6,6,5,6,6,5,6,6,7,7,7,8,9,8,0,8,9,9,10,9,11,10,9,11,9,11,12,11,12,11,11,10,12,12,11,12,12,10,11,12,12,0,0,0,0,0
118680,95,5,0,0,0,0,21,17,15,14,14,14,8,12,11,9,8,10,10,12,8,12,12,11,14,15,17,17,15,18,22,20,0,22,22,26,24,25,25,26,26,26,29,32,27,28,28,30,32,32,30,31,32,31,33,32,35,34,33,0,0,0,0,0
118681,95,5,0,0,0,0,17,15,18,13,13,13,10,9,8,8,7,5,9,10,9,11,10,12,13,16,16,15,18,18,20,21,0,20,24,25,23,25,27,30,27,26,27,31,28,31,30,32,32,33,34,34,32,34,35,35,37,35,36,0,0,0,0,0
118682,95,5,0,0,0,0,17,16,15,13,13,11,10,9,9,6,8,8,6,7,8,8,9,9,9,12,12,15,13,16,18,18,0,21,21,20,21,21,24,24,25,24,25,25,28,28,25,26,31,30,32,28,29,29,30,32,32,31,31,0,0,0,0,0
118683,95,5,0,0,0,0,12,10,10,9,8,5,6,3,5,5,3,5,5,6,7,9,10,10,12,12,12,15,14,17,15,16,0,19,19,20,20,20,22,22,19,24,24,25,23,23,24,25,27,26,28,26,27,27,28,26,29,30,29,0,0,0,0,0
118684,95,5,0,0,0,0,4,3,4,2,3,1,1,4,2,3,3,4,2,2,3,4,6,5,5,7,5,6,8,8,6,9,0,9,8,11,9,9,10,9,10,11,10,10,10,11,12,11,12,10,11,12,12,12,11,11,12,11,13,0,0,0,0,0
118685,95,5,0,0,0,0,8,10,10,8,7,9,9,8,8,7,8,9,10,11,9,11,14,13,15,16,16,17,15,19,19,19,0,20,23,27,24,23,24,25,23,26,23,28,23,28,27,27,28,31,28,31,27,29,27,28,31,29,30,0,0,0,0,0
118686,95,5,0,0,0,0,7,6,5,5,5,5,5,5,5,6,7,8,8,8,8,9,8,7,10,9,9,9,10,11,12,11,0,11,13,14,13,13,12,13,13,13,12,15,14,14,14,15,15,14,16,15,15,15,16,14,15,16,16,0,0,0,0,0
118687,95,5,0,0,0,0,5,3,5,5,5,5,5,3,7,6,5,7,8,8,7,7,7,7,8,8,8,7,10,10,9,9,0,11,9,10,9,8,11,11,11,9,12,11,12,10,9,12,10,12,12,11,12,12,11,11,11,13,11,0,0,0,0,0
118688,95,5,0,0,0,0,15,15,15,16,16,17,17,18,18,18,20,20,20,18,19,21,19,20,20,19,20,21,18,21,22,22,0,22,23,25,23,24,24,25,23,26,23,25,22,24,24,24,25,25,25,25,24,24,25,23,26,24,26,0,0,0,0,0
118689,95,5,0,0,0,0,8,9,7,7,7,9,9,9,9,8,10,8,9,8,10,10,11,8,10,9,11,8,9,11,10,13,0,10,10,11,10,12,11,10,11,9,10,12,11,10,11,10,12,9,11,11,12,12,10,10,12,13,12,0,0,0,0,0
118690,95,5,0,0,0,0,15,13,15,16,13,13,13,14,13,14,15,15,14,14,11,15,14,14,14,14,14,13,14,14,15,15,0,14,14,14,17,15,15,15,16,14,12,16,14,15,15,15,17,16,15,14,16,15,15,15,15,15,15,0,0,0,0,0
118691,95,5,0,0,0,0,10,11,9,8,8,11,10,9,10,7,9,10,9,8,8,10,8,8,8,7,8,9,8,8,9,8,0,9,9,8,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,10,10,8,10,11,10,10,10,0,0,0,0,0
118692,95,5,0,0,0,0,25,22,23,21,18,18,14,18,13,14,14,14,13,11,8,10,12,13,10,14,15,13,14,16,18,18,0,22,22,21,22,23,23,25,24,26,26,26,25,28,29,29,30,31,30,33,31,31,30,33,35,32,34,0,0,0,0,0
