Packet_Count,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,Sub_7,Sub_8,Sub_9,Sub_10,Sub_11,Sub_12,Sub_13,Sub_14,Sub_15,Sub_16,Sub_17,Sub_18,Sub_19,Sub_20,Sub_21,Sub_22,Sub_23,Sub_24,Sub_25,Sub_26,Sub_27,Sub_28,Sub_29,Sub_30,Sub_31,Sub_32,Sub_33,Sub_34,Sub_35,Sub_36,Sub_37,Sub_38,Sub_39,Sub_40,Sub_41,Sub_42,Sub_43,Sub_44,Sub_45,Sub_46,Sub_47,Sub_48,Sub_49,Sub_50,Sub_51,Sub_52,Sub_53,Sub_54,Sub_55,Sub_56,Sub_57,Sub_58,Sub_59,Sub_60,Sub_61,Sub_62,Sub_63
21649,95,5,0,0,0,0,22,24,25,24,21,23,22,22,21,23,22,22,22,24,21,23,25,24,21,21,21,21,20,20,21,21,0,21,20,23,19,20,19,18,18,18,18,17,17,17,14,17,17,16,18,13,14,14,14,14,13,12,13,0,0,0,0,0
21650,95,5,0,0,0,0,25,24,24,24,23,22,24,22,22,24,22,22,23,24,23,23,22,23,23,20,21,22,21,21,21,22,0,20,22,22,20,18,20,19,18,19,17,18,18,17,16,18,17,17,16,17,15,16,15,16,13,13,14,0,0,0,0,0
21651,95,5,0,0,0,0,24,25,24,23,23,23,22,21,23,25,23,24,22,25,21,24,22,24,20,21,21,23,22,22,20,22,0,20,22,20,21,20,19,19,19,17,19,20,17,18,18,17,18,16,16,17,16,14,15,14,13,14,14,0,0,0,0,0
21652,95,5,0,0,0,0,23,23,23,25,26,23,21,22,25,23,24,22,23,23,20,22,22,22,24,21,21,22,23,22,24,21,0,21,22,19,20,20,21,18,20,18,20,20,18,17,15,18,17,17,15,17,16,15,15,15,14,13,14,0,0,0,0,0
21653,95,5,0,0,0,0,23,23,22,22,22,23,22,23,23,22,24,25,22,21,21,21,24,21,21,21,21,22,17,20,20,23,0,22,20,21,17,21,19,18,19,19,17,17,18,18,17,16,18,17,16,16,17,14,14,14,15,12,13,0,0,0,0,0
21654,95,5,0,0,0,0,24,23,24,24,24,21,24,24,23,22,21,21,22,23,21,23,24,22,21,22,22,22,20,22,21,20,0,20,21,19,20,19,21,19,19,20,19,19,16,17,17,16,17,17,14,17,15,14,14,13,16,12,12,0,0,0,0,0
21655,95,5,0,0,0,0,28,24,20,21,28,24,27,24,24,22,24,25,23,23,24,23,22,22,24,22,21,22,21,21,20,21,0,20,22,21,19,21,19,20,19,18,18,17,18,17,17,17,17,15,17,14,16,16,13,15,13,15,13,0,0,0,0,0
21656,95,5,0,0,0,0,23,23,24,23,21,23,24,22,23,24,25,22,22,23,22,24,20,22,23,22,22,22,22,20,24,21,0,20,21,18,21,20,21,19,18,17,18,19,16,17,14,18,16,17,16,17,15,14,15,15,12,14,12,0,0,0,0,0
21657,95,5,0,0,0,0,25,21,25,24,23,22,21,22,23,24,23,22,24,24,22,23,20,21,21,23,19,22,21,21,22,20,0,19,22,18,20,18,19,18,18,17,17,18,16,17,13,17,15,17,15,16,14,15,15,14,16,13,14,0,0,0,0,0
21658,95,5,0,0,0,0,24,21,22,23,24,24,21,22,22,19,21,22,22,23,20,22,20,20,21,22,21,19,19,19,22,20,0,19,20,19,17,19,21,18,17,17,18,18,18,17,16,16,17,16,14,14,16,16,13,13,13,14,12,0,0,0,0,0
21659,95,5,0,0,0,0,24,21,22,21,21,23,22,23,22,24,22,22,22,22,21,23,22,21,23,22,23,22,20,21,20,20,0,21,20,20,19,18,18,19,18,18,19,18,18,16,19,18,18,18,15,14,15,15,15,13,13,13,13,0,0,0,0,0
21660,95,5,0,0,0,0,29,25,28,26,21,24,21,24,24,23,25,25,25,24,22,24,23,23,23,24,23,21,21,22,22,23,0,22,21,21,21,21,23,20,20,18,18,22,16,18,17,20,18,17,17,17,17,16,17,16,16,16,14,0,0,0,0,0
21661,95,5,0,0,0,0,25,23,25,25,24,25,24,23,25,24,28,23,23,22,21,25,23,22,22,23,22,22,22,21,22,23,0,21,20,20,20,20,21,22,21,19,20,19,18,18,18,20,18,18,17,16,17,15,13,14,16,13,13,0,0,0,0,0
21662,95,5,0,0,0,0,22,24,25,24,22,23,25,23,24,23,26,22,23,25,23,23,21,22,22,23,21,20,21,22,22,22,0,20,22,20,20,19,19,20,18,18,17,18,18,17,18,15,18,16,18,17,16,16,16,16,16,15,13,0,0,0,0,0
21663,95,5,0,0,0,0,23,22,23,25,23,22,21,22,22,23,21,21,21,22,22,23,21,22,21,21,20,21,19,20,19,22,0,21,18,19,20,20,19,17,18,16,18,19,17,18,16,17,16,16,17,17,13,14,12,15,13,14,13,0,0,0,0,0
21664,95,5,0,0,0,0,23,24,24,22,23,22,21,21,21,24,26,22,22,22,21,21,22,19,21,22,21,20,21,23,20,21,0,18,20,20,20,18,18,19,17,17,18,19,17,17,16,16,17,15,16,15,15,14,15,16,13,13,14,0,0,0,0,0
21665,95,5,0,0,0,0,27,27,28,26,27,26,22,24,25,25,26,24,24,22,22,22,24,22,24,23,22,24,20,22,24,22,0,20,21,20,22,19,22,20,20,17,19,19,18,18,17,19,17,17,16,17,16,17,15,14,15,15,12,0,0,0,0,0
